Time, Joy, Sadness, Disgust, Contempt, Anger, Fear, Surprise, Valence, Engagement 
105,0,0,100,0,0,0,0,-54,100
105,0,0,100,0,0,0,0,-54,100
105,0,0,100,0,0,0,0,-54,100
105,0,0,100,0,0,0,0,-54,100
110,100,0,0,0,0,0,2,92,100
110,100,0,0,0,0,0,2,95,100
110,100,0,0,0,0,0,2,93,100
110,0,0,2,0,0,0,2,0,50
110,0,0,4,0,0,0,2,0,49
110,0,0,4,0,0,0,2,0,48
110,0,0,3,0,0,0,2,0,45
110,0,0,3,0,0,0,2,0,36
5,0,0,19,0,0,0,1,-41,3
10,100,0,37,0,0,0,2,44,100
10,100,0,54,0,0,0,2,46,100
10,100,0,57,0,0,0,2,47,100
10,100,0,61,0,0,0,2,48,100
10,100,0,68,0,0,0,2,42,100
10,100,0,63,0,0,0,2,47,100
10,100,0,54,0,0,0,2,47,100
15,100,0,94,0,0,0,2,0,100
15,100,0,94,0,0,0,2,0,100
15,100,0,95,0,0,0,2,0,100
15,100,0,95,0,0,0,2,0,100
15,100,0,95,0,0,0,2,0,100
15,100,0,95,0,0,0,2,0,100
15,100,0,95,0,0,0,2,0,100
15,100,0,95,0,0,0,2,0,100
20,50,0,100,0,0,0,13,-35,100
20,100,0,97,0,0,0,11,0,100
20,100,0,91,0,0,0,10,0,100
20,100,0,89,0,0,0,9,1,100
20,100,0,85,0,0,0,7,2,100
20,100,0,84,0,0,0,6,2,100
10,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,410,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
